Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065854.084594,1617065854.092923,1161,8.328914642333984,10,9,7427,8,5,5110,1921,,0.0,0,0,
1617065854.113809,1617065854.122677,1162,8.867979049682617,10,9,7424,8,5,5107,1921,,0.0,0,0,
1617065854.143689,1617065854.153084,1163,9.395122528076172,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065854.325097,1617065854.334742,1164,9.64498519897461,10,8,7339,8,4,5107,1880,,0.0,0,0,
1617065854.355463,1617065881.305477,1165,26950.013875961304,10,34,9699,8,30,5111,3092,,0.0,0,0,
1617065854.382045,1617065854.390172,1166,8.126974105834961,10,9,7425,8,5,5108,1921,,0.0,0,0,
1617065854.411302,1617065881.36492,1167,26953.617811203003,10,34,9699,8,30,5111,3092,,0.0,0,0,
1617065854.597462,1617065881.545543,1168,26948.081016540527,10,34,9706,8,30,5118,3092,,0.0,0,0,
1617065854.626512,1617065855.65105,1169,1024.5380401611328,10,10,8268,10,5,5907,1921,,0.0,0,0,
1617065855.671493,1617065855.68045,1170,8.9569091796875,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065855.70158,1617065882.658071,1171,26956.490993499756,10,34,9705,8,30,5117,3092,,0.0,0,0,
1617065855.730465,1617065855.740675,1172,10.210037231445312,10,9,7433,8,5,5116,1921,,0.0,0,0,
1617065855.762194,1617065855.771186,1173,8.992195129394531,10,9,7433,8,5,5116,1921,,0.0,0,0,
1617065855.790363,1617065856.017902,1174,227.5388240814209,10,9,6606,8,5,4289,1921,,0.0,0,0,
1617065856.038081,1617065856.047431,1175,9.350061416625977,10,9,7434,8,5,5117,1921,,0.0,0,0,
1617065856.066322,1617065856.089521,1176,23.198843002319336,10,9,6609,8,5,4292,1921,,0.0,0,0,
1617065856.111476,1617065856.121075,1177,9.598970413208008,10,9,7436,8,5,5119,1921,,0.0,0,0,
1617065856.143766,1617065856.152194,1178,8.428096771240234,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065856.174133,1617065856.183507,1179,9.373903274536133,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065856.203602,1617065856.225508,1180,21.905899047851562,10,9,6611,8,5,4294,1921,,0.0,0,0,
1617065856.246283,1617065856.255176,1181,8.893013000488281,10,10,7506,8,6,5113,1953,,0.0,0,0,
1617065856.274947,1617065883.24077,1182,26965.82317352295,10,34,8872,8,30,4284,3092,,0.0,0,0,
1617065856.320538,1617065856.332453,1183,11.914968490600586,10,9,7426,8,5,5109,1921,,0.0,0,0,
1617065856.35211,1617065856.35881,1184,6.700038909912109,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065856.378055,1617065856.385578,1185,7.522821426391602,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065856.405763,1617065856.413469,1186,7.706165313720703,10,9,7434,8,5,5117,1921,,0.0,0,0,
1617065856.434888,1617065856.444092,1187,9.20414924621582,10,9,7431,8,5,5114,1921,,0.0,0,0,
